REPORT_DATE,TIME,DOMESTICL_PRODUCT_BASE,FIRST_PRODUCT_BASE,SECOND_PRODUCT_BASE,THIRD_PRODUCT_BASE,SUM_SAME,FIRST_SAME,SECOND_SAME,THIRD_SAME
2024-12-01 00:00:00,2024年第1-4季度,1349083.5,91413.9,492087.1,765582.5,5,3.5,5.3,5
2024-09-01 00:00:00,2024年第1-3季度,975357.4,57363.6,356492,561501.8,4.8,3.4,5.4,4.7
2024-06-01 00:00:00,2024年第1-2季度,633599.4,30468.8,233253,369877.5,5,3.5,5.8,4.6
2024-03-01 00:00:00,2024年第1季度,304761.8,11458.8,108277.4,185025.6,5.3,3.3,6,5
2023-12-01 00:00:00,2023年第1-4季度,1294271.7,89169.1,475936.1,729166.5,5.2,4.1,4.7,5.8
2023-09-01 00:00:00,2023年第1-3季度,937047,55955.6,344190.1,536901.2,5.2,4,4.4,6
2023-06-01 00:00:00,2023年第1-2季度,608606.3,30195.9,224508.4,353902,5.5,3.7,4.3,6.4
2023-03-01 00:00:00,2023年第1季度,292368.8,11500.4,104579.5,176288.8,4.5,3.7,3.3,5.4
2022-12-01 00:00:00,2022年第1-4季度,1234029.4,88207,467629.6,678192.7,3,4.1,3.8,2.3
2022-09-01 00:00:00,2022年第1-3季度,891687,54756.9,339457.2,497472.9,3,4.2,3.9,2.3
2022-06-01 00:00:00,2022年第1-2季度,576287.3,29103.4,221608.7,325575.3,2.5,5,3.2,1.8
2022-03-01 00:00:00,2022年第1季度,277175.8,10920.7,102919.5,163335.6,4.8,6,5.8,4
2021-12-01 00:00:00,2021年第1-4季度,1173823,83216.5,447138.2,643468.4,8.1,7.1,8.2,8.2
2021-09-01 00:00:00,2021年第1-3季度,840996.2,51677.3,317565.8,471753.1,9.8,7.4,10.6,9.5
2021-06-01 00:00:00,2021年第1-2季度,543034.4,28534.8,204557.8,309941.8,12.7,7.8,14.8,11.8
2021-03-01 00:00:00,2021年第1季度,255055.2,11369.3,91938.7,151747.2,18.3,8.1,24.4,15.6
2020-12-01 00:00:00,2020年第1-4季度,1034867.6,78030.9,381985.8,574850.9,2.3,3,2.6,2.1
2020-09-01 00:00:00,2020年第1-3季度,733031.4,48315.2,268731.7,415984.6,0.7,2.3,0.9,0.4
2020-06-01 00:00:00,2020年第1-2季度,453592.5,26157.1,169945.7,257489.7,-1.6,0.9,-1.9,-1.6
2020-03-01 00:00:00,2020年第1季度,205244.8,10222.5,72415.9,122606.3,-6.8,-3.2,-9.6,-5.2
2019-12-01 00:00:00,2019年第1-4季度,986515.2,70473.6,380670.6,535371,6.1,3.1,5.7,6.9
2019-09-01 00:00:00,2019年第1-3季度,709717.2,43009.1,272940.5,393767.5,6.2,2.9,5.6,7
2019-06-01 00:00:00,2019年第1-2季度,458670.9,23208.2,176520.4,258942.3,6.3,3,5.8,7
2019-03-01 00:00:00,2019年第1季度,217168.3,8768.3,80596.7,127803.3,6.4,2.7,6.1,7
2018-12-01 00:00:00,2018年第1-4季度,919281.1,64745.2,364835.2,489700.8,6.6,3.5,5.8,7.6
2018-09-01 00:00:00,2018年第1-3季度,660472.2,39806.4,260811.3,359854.5,6.7,3.4,5.8,7.7
2018-06-01 00:00:00,2018年第1-2季度,425997.9,21579.5,167698.8,236719.7,6.8,3.2,6.1,7.6
2018-03-01 00:00:00,2018年第1季度,202035.7,8575.7,76598.2,116861.8,6.8,3.2,6.3,7.5
2017-12-01 00:00:00,2017年第1-4季度,832035.9,62099.5,331580.5,438355.9,6.9,3.9,6.1,8
2017-09-01 00:00:00,2017年第1-3季度,596607.3,39106.6,236212.5,321288.2,6.9,3.7,6.3,7.8
2017-06-01 00:00:00,2017年第1-2季度,383818,20850.8,151638.4,211328.7,6.9,3.5,6.4,7.7
2017-03-01 00:00:00,2017年第1季度,181867.7,8205.9,69315.5,104346.3,6.9,3,6.4,7.7
2016-12-01 00:00:00,2016年第1-4季度,746395.1,60139.2,295427.8,390828.1,6.7,3.3,6.3,7.7
2016-09-01 00:00:00,2016年第1-3季度,534828.9,38411,209923.7,286494.1,6.7,3.5,6.3,7.5
2016-06-01 00:00:00,2016年第1-2季度,343818.2,20868.7,134523.3,188426.3,6.7,3,6.2,7.5
